model,t1_val_auc,t1_val_acc,t1_test_auc,t1_test_acc,t2_val_auc,t2_val_acc,t2_test_auc,t2_test_acc
ExtraTrees_r197_BAG_L1,0.6441176470588236,0.581081081081081,0.7931818181818182,0.7397260273972602,,,,
XGBoost_r194_BAG_L1,0.6441176470588235,0.5540540540540541,0.7492424242424243,0.726027397260274,,,,
RandomForest_r166_BAG_L1,0.64375,0.581081081081081,0.7806818181818184,0.7397260273972602,,,,
RandomForest_r16_BAG_L1,0.6433823529411765,0.6216216216216216,0.7647727272727274,0.7671232876712328,,,,
CatBoost_r50_BAG_L2,0.6433823529411765,0.5945945945945946,0.8075757575757577,0.7534246575342466,,,,
RandomForest_r39_BAG_L1,0.6433823529411764,0.581081081081081,0.771969696969697,0.7397260273972602,,,,
CatBoost_r60_BAG_L2,0.6419117647058824,0.5945945945945946,0.8143939393939393,0.7671232876712328,,,,
NeuralNetFastAI_r103_BAG_L2,0.6404411764705883,0.6081081081081081,0.8098484848484849,0.7397260273972602,,,,
CatBoost_r70_BAG_L2,0.6404411764705883,0.5945945945945946,0.8098484848484849,0.7397260273972602,,,,
ExtraTrees_r126_BAG_L2,0.6404411764705882,0.581081081081081,0.7909090909090909,0.821917808219178,,,,
XGBoost_r95_BAG_L1,0.6397058823529412,0.5540540540540541,0.7916666666666667,0.726027397260274,,,,
NeuralNetFastAI_r187_BAG_L1,0.6397058823529412,0.6216216216216216,0.7689393939393939,0.726027397260274,,,,
CatBoost_r9_BAG_L2,0.6433823529411765,0.5945945945945946,0.8143939393939393,0.7671232876712328,0.6352941176470588,0.581081081081081,0.7219696969696969,0.6712328767123288
NeuralNetFastAI_r88_BAG_L1,0.6389705882352941,0.6486486486486487,0.8022727272727272,0.7534246575342466,,,,
RandomForest_r127_BAG_L1,0.6389705882352941,0.5675675675675675,0.7643939393939394,0.726027397260274,,,,
CatBoost_r13_BAG_L2,0.6382352941176471,0.5675675675675675,0.8174242424242424,0.7808219178082192,,,,
RandomForestEntr_BAG_L1,0.6591911764705882,0.5540540540540541,0.7958333333333333,0.7397260273972602,0.6172794117647058,0.5945945945945946,0.671969696969697,0.6575342465753424
NeuralNetFastAI_r102_BAG_L1,0.6441176470588236,0.5945945945945946,0.8007575757575758,0.6986301369863014,0.6323529411764706,0.5945945945945946,0.7060606060606059,0.6164383561643836
NeuralNetFastAI_r69_BAG_L1,0.6375,0.6081081081081081,0.7522727272727272,0.6986301369863014,,,,
CatBoost_r137_BAG_L2,0.6375,0.5945945945945946,0.8159090909090909,0.7534246575342466,,,,
RandomForest_r15_BAG_L1,0.6375,0.5540540540540541,0.7674242424242425,0.7397260273972602,,,,
CatBoost_r86_BAG_L2,0.6367647058823529,0.5675675675675675,0.8219696969696969,0.7671232876712328,,,,
NeuralNetFastAI_r95_BAG_L1,0.6360294117647058,0.581081081081081,0.7204545454545455,0.6301369863013698,,,,
NeuralNetFastAI_r4_BAG_L1,0.6352941176470588,0.5405405405405406,0.7462121212121212,0.6438356164383562,,,,
XGBoost_r31_BAG_L1,0.6352941176470588,0.5540540540540541,0.7992424242424242,0.726027397260274,,,,
XGBoost_r89_BAG_L1,0.6345588235294117,0.5540540540540541,0.7803030303030304,0.726027397260274,,,,
ExtraTrees_r178_BAG_L1,0.6345588235294117,0.5945945945945946,0.8196969696969697,0.7945205479452054,,,,
NeuralNetFastAI_r69_BAG_L2,0.6330882352941176,0.6081081081081081,0.7962121212121211,0.7671232876712328,,,,
