rank_by_val,model,stack_level,val_auc,val_acc,test_auc,test_acc,n_val,n_test,fit_time,pred_time_val,can_infer
19,XGBoost_r49_BAG_L1,1,0.6507352941176471,0.5540540540540541,0.7674242424242425,0.6986301369863014,74,73,0.5157227516174316,0.0604031085968017,True
20,NeuralNetFastAI_BAG_L2,2,0.649264705882353,0.581081081081081,0.8257575757575758,0.7397260273972602,74,73,10.781814336776732,0.598405122756958,True
21,XGBoost_BAG_L1,1,0.6470588235294118,0.5540540540540541,0.7856060606060606,0.7397260273972602,74,73,0.4888763427734375,0.1862289905548095,True
22,NeuralNetFastAI_r37_BAG_L1,1,0.6470588235294118,0.6621621621621622,0.8325757575757575,0.7534246575342466,74,73,4.467893838882446,0.0927071571350097,True
23,NeuralNetFastAI_r145_BAG_L1,1,0.6463235294117647,0.6081081081081081,0.7628787878787878,0.684931506849315,74,73,3.401376485824585,0.1386575698852539,True
24,ExtraTrees_r49_BAG_L2,2,0.6455882352941177,0.581081081081081,0.8041666666666667,0.821917808219178,74,73,8.368472576141357,0.6127462387084961,True
25,NeuralNetFastAI_BAG_L1,1,0.6455882352941177,0.6351351351351351,0.7068181818181818,0.6575342465753424,74,73,2.9737648963928223,0.3328208923339844,True
26,ExtraTreesGini_BAG_L2,2,0.6455882352941177,0.581081081081081,0.8041666666666667,0.821917808219178,74,73,7.9379072189331055,0.595653772354126,True
27,ExtraTrees_r197_BAG_L1,1,0.6441176470588236,0.581081081081081,0.7931818181818182,0.7397260273972602,74,73,0.960211992263794,0.0511391162872314,True
28,NeuralNetFastAI_r102_BAG_L1,1,0.6441176470588236,0.5945945945945946,0.8007575757575758,0.6986301369863014,74,73,3.666698455810547,0.1715648174285888,True
29,XGBoost_r194_BAG_L1,1,0.6441176470588235,0.5540540540540541,0.7492424242424243,0.726027397260274,74,73,0.4890158176422119,0.1067957878112793,True
30,RandomForest_r166_BAG_L1,1,0.64375,0.581081081081081,0.7806818181818184,0.7397260273972602,74,73,2.383508920669556,0.0572240352630615,True
31,RandomForestGini_BAG_L1,1,0.64375,0.581081081081081,0.7806818181818184,0.7397260273972602,74,73,0.7798819541931152,0.0617122650146484,True
32,LightGBMLarge_BAG_L1,1,0.6433823529411765,0.5945945945945946,0.7522727272727273,0.7123287671232876,74,73,0.6423463821411133,0.0263152122497558,True
33,RandomForest_r16_BAG_L1,1,0.6433823529411765,0.6216216216216216,0.7647727272727274,0.7671232876712328,74,73,1.1572983264923096,0.0335824489593505,True
34,CatBoost_r50_BAG_L2,2,0.6433823529411765,0.5945945945945946,0.8075757575757577,0.7534246575342466,74,73,9.044011354446411,0.5544800758361816,True
35,CatBoost_r9_BAG_L2,2,0.6433823529411765,0.5945945945945946,0.8143939393939393,0.7671232876712328,74,73,12.662370920181274,0.5649285316467285,True
36,RandomForest_r39_BAG_L1,1,0.6433823529411764,0.581081081081081,0.771969696969697,0.7397260273972602,74,73,1.910372495651245,0.0568544864654541,True
37,CatBoost_r60_BAG_L2,2,0.6419117647058824,0.5945945945945946,0.8143939393939393,0.7671232876712328,74,73,9.10816240310669,0.5720601081848145,True
38,NeuralNetFastAI_r103_BAG_L2,2,0.6404411764705883,0.6081081081081081,0.8098484848484849,0.7397260273972602,74,73,10.605390071868896,0.6032521724700928,True
39,CatBoost_r70_BAG_L2,2,0.6404411764705883,0.5945945945945946,0.8098484848484849,0.7397260273972602,74,73,10.28586220741272,0.5577182769775391,True
40,ExtraTrees_r126_BAG_L2,2,0.6404411764705882,0.581081081081081,0.7909090909090909,0.821917808219178,74,73,8.354900121688843,0.5827450752258301,True
41,NeuralNetFastAI_r187_BAG_L1,1,0.6397058823529412,0.6216216216216216,0.7689393939393939,0.726027397260274,74,73,4.475939989089966,0.1674532890319824,True
42,XGBoost_r95_BAG_L1,1,0.6397058823529412,0.5540540540540541,0.7916666666666667,0.726027397260274,74,73,0.5754728317260742,0.059993028640747,True
43,RandomForest_r127_BAG_L1,1,0.6389705882352941,0.5675675675675675,0.7643939393939394,0.726027397260274,74,73,2.2389419078826904,0.0316953659057617,True
44,NeuralNetFastAI_r88_BAG_L1,1,0.6389705882352941,0.6486486486486487,0.8022727272727272,0.7534246575342466,74,73,4.315424203872681,0.0891420841217041,True
45,CatBoost_r13_BAG_L2,2,0.6382352941176471,0.5675675675675675,0.8174242424242424,0.7808219178082192,74,73,12.37578511238098,0.5641574859619141,True
46,XGBoost_r33_BAG_L1,1,0.6382352941176471,0.5540540540540541,0.7606060606060606,0.726027397260274,74,73,0.671698808670044,0.1437032222747802,True
47,CatBoost_r137_BAG_L2,2,0.6375,0.5945945945945946,0.8159090909090909,0.7534246575342466,74,73,8.90752911567688,0.554633617401123,True
48,RandomForest_r15_BAG_L1,1,0.6375,0.5540540540540541,0.7674242424242425,0.7397260273972602,74,73,2.160963535308838,0.0440971851348876,True
49,NeuralNetFastAI_r69_BAG_L1,1,0.6375,0.6081081081081081,0.7522727272727272,0.6986301369863014,74,73,3.12962007522583,0.1182019710540771,True
50,CatBoost_r86_BAG_L2,2,0.6367647058823529,0.5675675675675675,0.8219696969696969,0.7671232876712328,74,73,11.225836515426636,0.578087329864502,True
51,NeuralNetFastAI_r95_BAG_L1,1,0.6360294117647058,0.581081081081081,0.7204545454545455,0.6301369863013698,74,73,3.139352798461914,0.0740771293640136,True
52,NeuralNetFastAI_r4_BAG_L1,1,0.6352941176470588,0.5405405405405406,0.7462121212121212,0.6438356164383562,74,73,2.8827364444732666,0.0692973136901855,True
53,XGBoost_r31_BAG_L1,1,0.6352941176470588,0.5540540540540541,0.7992424242424242,0.726027397260274,74,73,0.5897986888885498,0.0777742862701416,True
54,ExtraTrees_r178_BAG_L1,1,0.6345588235294117,0.5945945945945946,0.8196969696969697,0.7945205479452054,74,73,1.6866793632507324,0.0441899299621582,True
55,XGBoost_r89_BAG_L1,1,0.6345588235294117,0.5540540540540541,0.7803030303030304,0.726027397260274,74,73,0.514542818069458,0.1079146862030029,True
56,CatBoost_r128_BAG_L2,2,0.6330882352941176,0.581081081081081,0.8106060606060607,0.7534246575342466,74,73,12.876802682876589,0.570976972579956,True
57,LightGBM_r121_BAG_L1,1,0.6330882352941176,0.5675675675675675,0.7871212121212121,0.7534246575342466,74,73,0.6544022560119629,0.0512804985046386,True
58,NeuralNetFastAI_r160_BAG_L1,1,0.6330882352941176,0.5945945945945946,0.7628787878787878,0.7397260273972602,74,73,3.0002787113189697,0.0898468494415283,True
59,NeuralNetFastAI_r69_BAG_L2,2,0.6330882352941176,0.6081081081081081,0.7962121212121211,0.7671232876712328,74,73,10.67146134376526,0.604724645614624,True
60,NeuralNetFastAI_r134_BAG_L1,1,0.6323529411764706,0.6216216216216216,0.7174242424242424,0.6712328767123288,74,73,4.042552471160889,0.1394071578979492,True
61,ExtraTreesEntr_BAG_L1,1,0.6316176470588236,0.581081081081081,0.7738636363636363,0.726027397260274,74,73,0.6963896751403809,0.0826828479766845,True
62,CatBoost_r137_BAG_L1,1,0.6308823529411764,0.5675675675675675,0.8348484848484848,0.7671232876712328,74,73,0.9155950546264648,0.0510222911834716,True
63,RandomForest_r34_BAG_L2,2,0.6301470588235294,0.5540540540540541,0.8295454545454546,0.726027397260274,74,73,8.404761791229248,0.5806849002838135,True
64,CatBoost_r12_BAG_L2,2,0.6297794117647059,0.5945945945945946,0.8128787878787878,0.7808219178082192,74,73,10.075220823287964,0.5698070526123047,True
65,RandomForest_r195_BAG_L1,1,0.6294117647058823,0.5945945945945946,0.768560606060606,0.7397260273972602,74,73,2.384511232376098,0.0479955673217773,True
66,CatBoost_r6_BAG_L2,2,0.6286764705882353,0.581081081081081,0.8151515151515152,0.7671232876712328,74,73,8.857968091964722,0.5547695159912109,True
67,XGBoost_r22_BAG_L1,1,0.6286764705882353,0.5675675675675675,0.7674242424242425,0.684931506849315,74,73,0.5344102382659912,0.0882689952850341,True
