model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
NeuralNetFastAI_r145_BAG_L1,0.6463235294117647,roc_auc,0.1386575698852539,3.401376485824585,0.1386575698852539,3.401376485824585,1,True,23
NeuralNetFastAI_BAG_L1,0.6455882352941177,roc_auc,0.3328208923339844,2.9737648963928223,0.3328208923339844,2.9737648963928223,1,True,8
ExtraTreesGini_BAG_L2,0.6455882352941176,roc_auc,0.595653772354126,7.9379072189331055,0.05778980255126953,0.33556652069091797,2,True,94
ExtraTrees_r49_BAG_L2,0.6455882352941176,roc_auc,0.6127462387084961,8.368472576141357,0.07488226890563965,0.7661318778991699,2,True,133
XGBoost_r194_BAG_L1,0.6441176470588236,roc_auc,0.1067957878112793,0.4890158176422119,0.1067957878112793,0.4890158176422119,1,True,28
ExtraTrees_r197_BAG_L1,0.6441176470588235,roc_auc,0.051139116287231445,0.960211992263794,0.051139116287231445,0.960211992263794,1,True,74
NeuralNetFastAI_r102_BAG_L1,0.6441176470588235,roc_auc,0.17156481742858887,3.666698455810547,0.17156481742858887,3.666698455810547,1,True,19
RandomForest_r166_BAG_L1,0.64375,roc_auc,0.05722403526306152,2.3835089206695557,0.05722403526306152,2.3835089206695557,1,True,61
RandomForestGini_BAG_L1,0.64375,roc_auc,0.06171226501464844,0.7798819541931152,0.06171226501464844,0.7798819541931152,1,True,3
LightGBMLarge_BAG_L1,0.6433823529411764,roc_auc,0.02631521224975586,0.6423463821411133,0.02631521224975586,0.6423463821411133,1,True,10
RandomForest_r16_BAG_L1,0.6433823529411764,roc_auc,0.033582448959350586,1.1572983264923096,0.033582448959350586,1.1572983264923096,1,True,76
RandomForest_r39_BAG_L1,0.6433823529411764,roc_auc,0.0568544864654541,1.9103724956512451,0.0568544864654541,1.9103724956512451,1,True,37
CatBoost_r50_BAG_L2,0.6433823529411764,roc_auc,0.5544800758361816,9.044011354446411,0.016616106033325195,1.4416706562042236,2,True,114
CatBoost_r9_BAG_L2,0.6433823529411764,roc_auc,0.5649285316467285,12.662370920181274,0.02706456184387207,5.060030221939087,2,True,102
CatBoost_r60_BAG_L2,0.6419117647058824,roc_auc,0.5720601081848145,9.10816240310669,0.03419613838195801,1.505821704864502,2,True,152
CatBoost_r70_BAG_L2,0.6404411764705883,roc_auc,0.5577182769775391,10.28586220741272,0.019854307174682617,2.6835215091705322,2,True,122
NeuralNetFastAI_r103_BAG_L2,0.6404411764705883,roc_auc,0.6032521724700928,10.605390071868896,0.06538820266723633,3.003049373626709,2,True,119
ExtraTrees_r126_BAG_L2,0.6404411764705882,roc_auc,0.5827450752258301,8.354900121688843,0.04488110542297363,0.7525594234466553,2,True,168
